what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255457334180
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1255457344205
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1255457349511
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255457349815
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255457353003
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1255457356283
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255457356740
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255457360268
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1255457362420
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255457362823
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255457398389
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1255457400146
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255457408947
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1255457414844
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1255457414845
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255457418391
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1255457433829
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1255457435162
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255457444207
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255457469781
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255457474262
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255457528048
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1255457529968
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255457535658
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255457540008
